Jahr,Gebiet-Schlüssel,Variabel,Anzahl,Stadtteil,Stadtbezirke,Dimension,Gruppe
2020,DX01,BEVTOTAAL,43713,DX01 Centrum-West,A Centrum,Bevölkerung,
2020,DX02,BEVTOTAAL,43597,DX02 Centrum-Oost,A Centrum,Bevölkerung,
2020,DX03,BEVTOTAAL,37576,DX03 Westerpark,E West,Bevölkerung,
2020,DX04,BEVTOTAAL,36196,DX04 Bos en Lommer,E West,Bevölkerung,
2020,DX05,BEVTOTAAL,73649,DX05 Oud-West, De Baarsjes,E West,Bevölkerung,
2020,DX06,BEVTOTAAL,47344,DX06 Geuzenveld, Slotermeer, Sloterdijken,F Nieuw-West,Bevölkerung,
2020,DX07,BEVTOTAAL,39834,DX07 Osdorp,F Nieuw-West,Bevölkerung,
2020,DX08,BEVTOTAAL,28504,DX08 De Aker, Sloten, Nieuw-Sloten,F Nieuw-West,Bevölkerung,
2020,DX09,BEVTOTAAL,44442,DX09 Slotervaart,F Nieuw-West,Bevölkerung,
2020,DX10,BEVTOTAAL,54415,DX10 Oud-Zuid,K Zuid,Bevölkerung,
2020,DX11,BEVTOTAAL,27001,DX11 Buitenveldert, Zuidas,K Zuid,Bevölkerung,
2020,DX12,BEVTOTAAL,64875,DX12 De Pijp, Rivierenbuurt,K Zuid,Bevölkerung,
2020,DX13,BEVTOTAAL,36235,DX13 Oud-Oost,M Oost,Bevölkerung,
2020,DX14,BEVTOTAAL,41372,DX14 Indische Buurt, Oostelijk Havengebied,M Oost,Bevölkerung,
2020,DX15,BEVTOTAAL,35744,DX15 Watergraafsmeer,M Oost,Bevölkerung,
2020,DX16,BEVTOTAAL,28698,DX16 IJburg, Zeeburgereiland,M Oost,Bevölkerung,
2020,DX17,BEVTOTAAL,39110,DX17 Noord-West,N Noord,Bevölkerung,
2020,DX18,BEVTOTAAL,29950,DX18 Oud-Noord,N Noord,Bevölkerung,
2020,DX19,BEVTOTAAL,30178,DX19 Noord-Oost,N Noord,Bevölkerung,
2020,DX20,BEVTOTAAL,25681,DX20 Bijlmer-Centrum, Amstel III,T Zuidoost,Bevölkerung,
2020,DX21,BEVTOTAAL,29788,DX21 Bijlmer-Oost,T Zuidoost,Bevölkerung,
2020,DX22,BEVTOTAAL,34372,DX22 Gaasperdam, Driemond,T Zuidoost,Bevölkerung,
2019,DX01,BEVTOTAAL,43543,DX01 Centrum-West,A Centrum,Bevölkerung,
2019,DX02,BEVTOTAAL,43319,DX02 Centrum-Oost,A Centrum,Bevölkerung,
2019,DX03,BEVTOTAAL,37143,DX03 Westerpark,E West,Bevölkerung,
2019,DX04,BEVTOTAAL,35501,DX04 Bos en Lommer,E West,Bevölkerung,
2019,DX05,BEVTOTAAL,73264,DX05 Oud-West, De Baarsjes,E West,Bevölkerung,
2019,DX06,BEVTOTAAL,46913,DX06 Geuzenveld, Slotermeer, Sloterdijken,F Nieuw-West,Bevölkerung,
2019,DX07,BEVTOTAAL,39328,DX07 Osdorp,F Nieuw-West,Bevölkerung,
2019,DX08,BEVTOTAAL,28508,DX08 De Aker, Sloten, Nieuw-Sloten,F Nieuw-West,Bevölkerung,
2019,DX09,BEVTOTAAL,43215,DX09 Slotervaart,F Nieuw-West,Bevölkerung,
2019,DX10,BEVTOTAAL,54444,DX10 Oud-Zuid,K Zuid,Bevölkerung,
2019,DX11,BEVTOTAAL,26642,DX11 Buitenveldert, Zuidas,K Zuid,Bevölkerung,
2019,DX12,BEVTOTAAL,64880,DX12 De Pijp, Rivierenbuurt,K Zuid,Bevölkerung,
2019,DX13,BEVTOTAAL,36162,DX13 Oud-Oost,M Oost,Bevölkerung,
2019,DX14,BEVTOTAAL,41526,DX14 Indische Buurt, Oostelijk Havengebied,M Oost,Bevölkerung,
2019,DX15,BEVTOTAAL,35241,DX15 Watergraafsmeer,M Oost,Bevölkerung,
2019,DX16,BEVTOTAAL,27371,DX16 IJburg, Zeeburgereiland,M Oost,Bevölkerung,
2019,DX17,BEVTOTAAL,38320,DX17 Noord-West,N Noord,Bevölkerung,
2019,DX18,BEVTOTAAL,29396,DX18 Oud-Noord,N Noord,Bevölkerung,
2019,DX19,BEVTOTAAL,29484,DX19 Noord-Oost,N Noord,Bevölkerung,
2019,DX20,BEVTOTAAL,24902,DX20 Bijlmer-Centrum, Amstel III,T Zuidoost,Bevölkerung,
2019,DX21,BEVTOTAAL,29481,DX21 Bijlmer-Oost,T Zuidoost,Bevölkerung,
2019,DX22,BEVTOTAAL,34227,DX22 Gaasperdam, Driemond,T Zuidoost,Bevölkerung,
2018,DX01,BEVTOTAAL,43386,DX01 Centrum-West,A Centrum,Bevölkerung,
2018,DX02,BEVTOTAAL,43465,DX02 Centrum-Oost,A Centrum,Bevölkerung,
2018,DX03,BEVTOTAAL,36084,DX03 Westerpark,E West,Bevölkerung,
2018,DX04,BEVTOTAAL,35009,DX04 Bos en Lommer,E West,Bevölkerung,
2018,DX05,BEVTOTAAL,73117,DX05 Oud-West, De Baarsjes,E West,Bevölkerung,
2018,DX06,BEVTOTAAL,45940,DX06 Geuzenveld, Slotermeer, Sloterdijken,F Nieuw-West,Bevölkerung,
2018,DX07,BEVTOTAAL,39312,DX07 Osdorp,F Nieuw-West,Bevölkerung,
2018,DX08,BEVTOTAAL,28541,DX08 De Aker, Sloten, Nieuw-Sloten,F Nieuw-West,Bevölkerung,
2018,DX09,BEVTOTAAL,41988,DX09 Slotervaart,F Nieuw-West,Bevölkerung,
2018,DX10,BEVTOTAAL,54235,DX10 Oud-Zuid,K Zuid,Bevölkerung,
2018,DX11,BEVTOTAAL,26280,DX11 Buitenveldert, Zuidas,K Zuid,Bevölkerung,
2018,DX12,BEVTOTAAL,65033,DX12 De Pijp, Rivierenbuurt,K Zuid,Bevölkerung,
2018,DX13,BEVTOTAAL,35846,DX13 Oud-Oost,M Oost,Bevölkerung,
2018,DX14,BEVTOTAAL,41427,DX14 Indische Buurt, Oostelijk Havengebied,M Oost,Bevölkerung,
2018,DX15,BEVTOTAAL,34119,DX15 Watergraafsmeer,M Oost,Bevölkerung,
2018,DX16,BEVTOTAAL,26062,DX16 IJburg, Zeeburgereiland,M Oost,Bevölkerung,
2018,DX17,BEVTOTAAL,37851,DX17 Noord-West,N Noord,Bevölkerung,
2018,DX18,BEVTOTAAL,29059,DX18 Oud-Noord,N Noord,Bevölkerung,
2018,DX19,BEVTOTAAL,29365,DX19 Noord-Oost,N Noord,Bevölkerung,
2018,DX20,BEVTOTAAL,25008,DX20 Bijlmer-Centrum, Amstel III,T Zuidoost,Bevölkerung,
2018,DX21,BEVTOTAAL,28848,DX21 Bijlmer-Oost,T Zuidoost,Bevölkerung,
2018,DX22,BEVTOTAAL,34143,DX22 Gaasperdam, Driemond,T Zuidoost,Bevölkerung,
2017,DX01,BEVTOTAAL,43228,DX01 Centrum-West,A Centrum,Bevölkerung,
2017,DX02,BEVTOTAAL,43194,DX02 Centrum-Oost,A Centrum,Bevölkerung,
2017,DX03,BEVTOTAAL,36000,DX03 Westerpark,E West,Bevölkerung,
2017,DX04,BEVTOTAAL,34864,DX04 Bos en Lommer,E West,Bevölkerung,
2017,DX05,BEVTOTAAL,72978,DX05 Oud-West, De Baarsjes,E West,Bevölkerung,
2017,DX06,BEVTOTAAL,45124,DX06 Geuzenveld, Slotermeer, Sloterdijken,F Nieuw-West,Bevölkerung,
2017,DX07,BEVTOTAAL,38989,DX07 Osdorp,F Nieuw-West,Bevölkerung,
2017,DX08,BEVTOTAAL,28439,DX08 De Aker, Sloten, Nieuw-Sloten,F Nieuw-West,Bevölkerung,
2017,DX09,BEVTOTAAL,39125,DX09 Slotervaart,F Nieuw-West,Bevölkerung,
2017,DX10,BEVTOTAAL,54566,DX10 Oud-Zuid,K Zuid,Bevölkerung,
2017,DX11,BEVTOTAAL,24951,DX11 Buitenveldert, Zuidas,K Zuid,Bevölkerung,
2017,DX12,BEVTOTAAL,64915,DX12 De Pijp, Rivierenbuurt,K Zuid,Bevölkerung,
2017,DX13,BEVTOTAAL,35503,DX13 Oud-Oost,M Oost,Bevölkerung,
2017,DX14,BEVTOTAAL,41578,DX14 Indische Buurt, Oostelijk Havengebied,M Oost,Bevölkerung,
2017,DX15,BEVTOTAAL,34311,DX15 Watergraafsmeer,M Oost,Bevölkerung,
2017,DX16,BEVTOTAAL,24375,DX16 IJburg, Zeeburgereiland,M Oost,Bevölkerung,
2017,DX17,BEVTOTAAL,37691,DX17 Noord-West,N Noord,Bevölkerung,
2017,DX18,BEVTOTAAL,27923,DX18 Oud-Noord,N Noord,Bevölkerung,
2017,DX19,BEVTOTAAL,29152,DX19 Noord-Oost,N Noord,Bevölkerung,
2017,DX20,BEVTOTAAL,25063,DX20 Bijlmer-Centrum, Amstel III,T Zuidoost,Bevölkerung,
2017,DX21,BEVTOTAAL,28491,DX21 Bijlmer-Oost,T Zuidoost,Bevölkerung,
